ev_tipi,oda_sayisi,buyukluk,bina_yasi,kat,il,semt,fiyat
Daire,2 + 1,110.0,2.0,12. Kat,Bursa,Nilüfer,17500.0
Daire,3 + 1,145.0,15.0,3. Kat,Bursa,Nilüfer,11000.0
Daire,3 + 1,140.0,25.0,2. Kat,Bursa,Nilüfer,9000.0
Daire,3 + 1,150.0,20.0,4. Kat,Bursa,Gemlik,20000.0
Daire,3 + 1,160.0,5.0,2. Kat,Bursa,Osmangazi,8000.0
Yazlık,2 + 1,110.0,40.0,Asma Kat,Bursa,Mudanya,100000.0
Daire,4 + 1,155.0,15.0,3. Kat,Bursa,Osmangazi,7000.0
Daire,2 + 1,100.0,27.0,Giriş Katı,Bursa,Gemlik,3500.0
Yazlık,3 + 1,120.0,40.0,En Üst Kat,Bursa,Mudanya,70000.0
Daire,2 + 1,60.0,1.0,En Üst Kat,Bursa,Nilüfer,7500.0
Daire,3 + 1,225.0,12.0,Bahçe Katı,Bursa,Osmangazi,33000.0
Daire,2 + 1,70.0,7.0,3. Kat,Bursa,Yenişehir,4500.0
Daire,2 + 1,85.0,10.0,4. Kat,Bursa,Nilüfer,11000.0
Daire,2 + 1,110.0,2.0,2. Kat,Bursa,Mudanya,6500.0
Daire,3 + 1,140.0,16.0,5. Kat,Bursa,Nilüfer,10500.0
Daire,3 + 1,170.0,26.0,4. Kat,Bursa,Nilüfer,11000.0
Daire,2 + 1,115.0,25.0,2. Kat,Bursa,Yıldırım,5750.0
Daire,3 + 1,135.0,0.0,2. Kat,Bursa,Gemlik,8500.0
Daire,2 + 1,145.0,0.0,3. Kat,Bursa,Yıldırım,6500.0
Daire,2 + 1,110.0,10.0,Ara Kat,Bursa,Nilüfer,13000.0
Daire,1 + 1,65.0,10.0,3. Kat,Bursa,Nilüfer,4500.0
Daire,2 + 1,128.0,0.0,3. Kat,Bursa,Nilüfer,18500.0
Daire,2 + 1,110.0,6.0,2. Kat,Bursa,Mudanya,10000.0
Daire,2 + 1,60.0,0.0,2. Kat,Bursa,Nilüfer,7000.0
Daire,1 + 1,60.0,3.0,2. Kat,Bursa,Nilüfer,5250.0
Daire,2 + 1,130.0,23.0,4. Kat,Bursa,Nilüfer,16000.0
Daire,1 + 1,65.0,16.0,1. Kat,Bursa,Mudanya,5000.0
Daire,2 + 1,95.0,20.0,2. Kat,Bursa,Gemlik,6500.0
Daire,2 + 1,110.0,4.0,1. Kat,Bursa,Gemlik,8000.0
Daire,3 + 1,145.0,7.0,1. Kat,Bursa,Orhangazi,12000.0
Daire,1 + 1,87.0,16.0,1. Kat,Bursa,Nilüfer,6500.0
Daire,2 + 1,60.0,0.0,Ara Kat,Bursa,Nilüfer,7000.0
Daire,2 + 1,75.0,10.0,3. Kat,Bursa,Nilüfer,5000.0
Daire,3 + 1,150.0,25.0,3. Kat,Bursa,Nilüfer,9000.0
Daire,2 + 1,100.0,2.0,1. Kat,Bursa,Osmangazi,12000.0
Daire,2 + 1,60.0,0.0,3. Kat,Bursa,Nilüfer,6500.0
Daire,3 + 1,150.0,25.0,2. Kat,Bursa,Nilüfer,10000.0
Daire,3 + 1,130.0,40.0,En Üst Kat,Bursa,Mudanya,12500.0
Daire,1 + 1,60.0,3.0,7. Kat,Bursa,Nilüfer,5300.0
Müstakil Ev,3 + 1,200.0,26.0,Bahçe Katı,Bursa,Gemlik,7000.0
Daire,2 + 1,110.0,12.0,3. Kat,Bursa,Nilüfer,7500.0
Daire,2 + 1,80.0,0.0,2. Kat,Bursa,Gemlik,7000.0
Daire,3 + 1,135.0,26.0,4. Kat,Bursa,Gemlik,5000.0
Daire,3 + 1,150.0,16.0,2. Kat,Bursa,Mudanya,8500.0
Daire,3 + 1,160.0,6.0,2. Kat,Bursa,Nilüfer,13000.0
Daire,2 + 1,115.0,30.0,Yüksek Giriş,Bursa,Gemlik,4000.0
Daire,5 + 1,178.0,7.0,Ara Kat,Bursa,Gemlik,13500.0
Daire,2 + 11,100.0,30.0,4. Kat,Bursa,Mudanya,5500.0
Daire,2 + 1,60.0,11.0,4. Kat,Bursa,Nilüfer,5250.0
Daire,3 + 1,140.0,30.0,4. Kat,Bursa,Osmangazi,8000.0
Daire,2 + 1,95.0,30.0,3. Kat,Bursa,Osmangazi,10000.0
Daire,3 + 1,200.0,0.0,5. Kat,Bursa,Mudanya,15000.0
Daire,2 + 1,115.0,31.0,4. Kat,Bursa,Osmangazi,4500.0
Daire,2 + 1,110.0,30.0,1. Kat,Bursa,Gemlik,5000.0
Daire,1 + 1,90.0,30.0,3. Kat,Bursa,Osmangazi,7000.0
Daire,2 + 1,100.0,29.0,Giriş Katı,Bursa,Mudanya,7000.0
Daire,1 + 1,75.0,2.0,Bahçe Katı,Bursa,Mudanya,7500.0
Daire,2 + 1,65.0,3.0,2. Kat,Bursa,Nilüfer,5900.0
Daire,2 + 1,107.0,1.0,6. Kat,Bursa,Nilüfer,15500.0
Daire,1 + 1,60.0,0.0,Ara Kat,Bursa,Mustafakemalpaşa,5000.0
Daire,2 + 1,110.0,11.0,10. Kat,Bursa,Nilüfer,6000.0
Daire,1 + 1,90.0,3.0,Ara Kat,Bursa,Mudanya,9500.0
Daire,3 + 1,150.0,0.0,4. Kat,Bursa,İnegöl,10000.0
Residence,1 + 1,107.0,0.0,7. Kat,Bursa,Nilüfer,12000.0
Daire,3 + 1,160.0,0.0,Bahçe Katı,Bursa,Orhangazi,13000.0
Daire,2 + 1,115.0,3.0,Ara Kat,Bursa,Osmangazi,15000.0
Daire,3 + 1,135.0,0.0,2. Kat,Bursa,Nilüfer,15000.0
Daire,1 + 1,60.0,11.0,1. Kat,Bursa,Nilüfer,5100.0
